date,close,open,high,low,volume,change_percent,avg_vol_20d
20160516,5812.5423,5692.6051,5813.0362,5665.2063,57960898.0,2.106894785306648,68470571.05
20160517,5790.3416,5814.1028,5853.6109,5763.5055,65260138.0,-0.4086821443886393,67713554.35
20160518,5631.1927,5743.0332,5743.0332,5563.0572,63704856.0,-1.9474116917868463,67426863.8
20160519,5666.7331,5628.7267,5729.4001,5628.6462,56438940.0,0.6752219822646606,64382541.45
20160520,5732.9018,5619.9362,5733.2495,5600.492,55936076.0,2.010086876075204,62938915.65
20160523,5809.4761,5752.1453,5811.6842,5752.0785,62777792.0,0.99668553226567,62961614.7
20160524,5743.1782,5800.0034,5800.1706,5701.6635,57956416.0,-0.9797442532533569,63007718.85
20160525,5715.1834,5780.266,5803.9847,5691.6085,53302956.0,-1.1259447229591117,62870101.4
20160526,5744.3876,5705.0725,5744.8548,5598.6616,59665727.0,0.6891253353923162,62816808.7
20160527,5739.5897,5728.9033,5780.0682,5712.4793,59984704.0,0.18653482944982688,62794508.85
20160530,5711.3152,5705.9957,5764.7614,5655.6352,48888003.0,0.0932264985758683,62753699.6
20160531,5947.3224,5721.8261,5947.4279,5721.8261,95238072.0,3.9409848544680477,63724050.25
20160601,5973.7799,5957.1761,6013.9035,5949.6366,94513987.0,0.2787193079620523,64721962.6
20160602,6013.8942,5961.7154,6014.6099,5955.3472,81245308.0,0.8752313134571919,65556279.65
20160603,6032.603,6016.9487,6062.1379,5992.3207,84843514.0,0.26017007590575186,64895609.45
20160606,6051.8595,6051.9476,6067.4652,6008.9257,73552820.0,-0.0014557297224590945,64661581.4
20160607,6045.3571,6048.3198,6052.0491,6010.3535,69598258.0,-0.04898385168059468,65508607.05
20160608,6023.8776,6037.4133,6058.1769,5972.7439,73498163.0,-0.22419700834462272,66282958.9
20160613,5746.4438,5943.7334,5992.3346,5745.9998,87139857.0,-3.31928750370937,67729161.05
20160614,5762.7612,5723.9941,5778.8537,5700.5226,62032704.0,0.67727358419185,68176959.45
20160615,5952.846,5701.3881,5972.8525,5692.8145,90878605.0,4.410468040230403,69822844.8
20160616,5930.5454,5945.4943,5979.1155,5909.6871,96031460.0,-0.25143241664532956,71361410.9
20160617,5964.2724,5937.3204,6002.6166,5918.1931,89066841.0,0.45394215208598526,72629510.15
